date,year,country,value,indicator
2010-01-01,2010,Canada,1.78,"Inflation (annual avg, %)"
2010-01-01,2010,France,1.53,"Inflation (annual avg, %)"
2010-01-01,2010,Germany,1.1,"Inflation (annual avg, %)"
2010-01-01,2010,Italy,1.52,"Inflation (annual avg, %)"
2010-01-01,2010,Japan,-0.74,"Inflation (annual avg, %)"
2010-01-01,2010,United Kingdom,2.49,"Inflation (annual avg, %)"
2010-01-01,2010,United States,1.64,"Inflation (annual avg, %)"
2010-01-01,2010,Euro Area,1.61,"Inflation (annual avg, %)"
2011-01-01,2011,Canada,2.91,"Inflation (annual avg, %)"
2011-01-01,2011,France,2.11,"Inflation (annual avg, %)"
2011-01-01,2011,Germany,2.07,"Inflation (annual avg, %)"
2011-01-01,2011,Italy,2.78,"Inflation (annual avg, %)"
2011-01-01,2011,Japan,-0.27,"Inflation (annual avg, %)"
2011-01-01,2011,United Kingdom,3.85,"Inflation (annual avg, %)"
2011-01-01,2011,United States,3.16,"Inflation (annual avg, %)"
2011-01-01,2011,Euro Area,2.72,"Inflation (annual avg, %)"
2012-01-01,2012,Canada,1.52,"Inflation (annual avg, %)"
2012-01-01,2012,France,1.96,"Inflation (annual avg, %)"
2012-01-01,2012,Germany,2.01,"Inflation (annual avg, %)"
2012-01-01,2012,Italy,3.04,"Inflation (annual avg, %)"
2012-01-01,2012,Japan,-0.04,"Inflation (annual avg, %)"
2012-01-01,2012,United Kingdom,2.58,"Inflation (annual avg, %)"
2012-01-01,2012,United States,2.07,"Inflation (annual avg, %)"
2012-01-01,2012,Euro Area,2.5,"Inflation (annual avg, %)"
2013-01-01,2013,Canada,0.94,"Inflation (annual avg, %)"
2013-01-01,2013,France,0.86,"Inflation (annual avg, %)"
2013-01-01,2013,Germany,1.51,"Inflation (annual avg, %)"
2013-01-01,2013,Italy,1.22,"Inflation (annual avg, %)"
2013-01-01,2013,Japan,0.34,"Inflation (annual avg, %)"
2013-01-01,2013,United Kingdom,2.29,"Inflation (annual avg, %)"
2013-01-01,2013,United States,1.47,"Inflation (annual avg, %)"
2013-01-01,2013,Euro Area,1.35,"Inflation (annual avg, %)"
2014-01-01,2014,Canada,1.91,"Inflation (annual avg, %)"
2014-01-01,2014,France,0.51,"Inflation (annual avg, %)"
2014-01-01,2014,Germany,0.91,"Inflation (annual avg, %)"
2014-01-01,2014,Italy,0.24,"Inflation (annual avg, %)"
2014-01-01,2014,Japan,2.76,"Inflation (annual avg, %)"
2014-01-01,2014,United Kingdom,1.45,"Inflation (annual avg, %)"
2014-01-01,2014,United States,1.62,"Inflation (annual avg, %)"
2014-01-01,2014,Euro Area,0.43,"Inflation (annual avg, %)"
2015-01-01,2015,Canada,1.13,"Inflation (annual avg, %)"
2015-01-01,2015,France,0.04,"Inflation (annual avg, %)"
2015-01-01,2015,Germany,0.51,"Inflation (annual avg, %)"
2015-01-01,2015,Italy,0.04,"Inflation (annual avg, %)"
2015-01-01,2015,Japan,0.81,"Inflation (annual avg, %)"
2015-01-01,2015,United Kingdom,0.37,"Inflation (annual avg, %)"
